41
6148
0 41
12 4 0
15.2971 2.8455 1
19.5946 2.03826 2
25.4475 2.37279 3
34.6674 2.52687 4
43.4107 3.36626 5
50.813 3.91216 6
58.2467 2.92998 7
64.8334 3.72171 8
71.0272 4.8372 9
78.4071 5.78205 10
83.4952 5.68773 11
90.7593 4.91829 12
97.445 4.83696 13
106.236 4.77393 14
114.474 4.59778 15
121.452 4.94646 16
127.517 4.99437 17
132.334 5.45144 18
137.669 5.27595 19
140.909 5.76142 20
145.371 7.27843 21
150.766 8.89127 22
153.724 10.6259 23
157 11.2733 24
159.064 12.2443 25
163.672 13.6456 26
165.212 15.672 27
166.41 17.8599 28
167.353 18.2587 29
164.755 21.2381 30
160.884 22.5995 31
155.736 22.9528 32
148.074 24.5761 33
139.365 26.8334 34
132.78 29.0559 35
125.854 29.5803 36
122.493 29.8287 37
119.449 30.4019 38
119.94 30.8213 39
121.324 31.6656 40
0 41
20 4 0
23.29 2.83208 1
27.5788 2.017 2
33.4333 2.35037 3
42.651 2.50185 4
51.3931 3.33942 5
58.8172 3.85632 6
66.1056 2.90641 7
72.703 3.69869 8
78.8976 4.81456 9
86.2472 5.75404 10
91.3274 5.65048 11
98.5012 4.88098 12
105.174 4.7401 13
113.98 4.67621 14
122.166 4.47806 15
129.009 4.78139 16
135.007 4.8608 17
139.827 5.29581 18
145.12 5.10561 19
148.336 5.57359 20
152.762 7.07388 21
158.167 8.67444 22
161.117 10.413 23
164.413 11.0575 24
166.457 12.0383 25
171.047 13.3978 26
172.584 15.4342 27
173.765 17.6731 28
174.709 18.057 29
172.089 21.0532 30
168.235 22.4108 31
163.083 22.7537 32
155.432 24.3925 33
146.725 26.682 34
140.145 28.9057 35
133.217 29.4378 36
129.867 29.7053 37
126.827 30.2668 38
127.285 30.7073 39
128.697 31.4773 40
0 41
60 4 0
63.2368 2.81065 1
67.4736 2.0195 2
73.2071 2.29778 3
82.2736 2.30848 4
90.8231 3.01139 5
97.9642 3.39491 6
105.229 2.49254 7
111.719 3.3095 8
117.737 4.40521 9
125.002 5.16046 10
129.989 5.05733 11
137.109 4.2703 12
143.646 4.08935 13
152.392 3.95139 14
160.449 3.6937 15
167.144 3.89436 16
173.123 3.96097 17
177.899 4.33629 18
183.073 4.12923 19
186.268 4.60116 20
190.602 6.04689 21
196.019 7.58839 22
198.96 9.27756 23
202.21 9.77958 24
204.204 10.7082 25
208.742 12.0279 26
210.183 14.011 27
211.343 16.2024 28
212.276 16.5663 29
209.622 19.626 30
205.813 21.0168 31
200.695 21.4214 32
193.059 23.1391 33
184.505 25.5128 34
177.979 27.7262 35
171.052 28.2528 36
167.735 28.5329 37
164.723 29.0331 38
165.183 29.5215 39
166.494 30.3236 40
0 41
68 4 0
71.3167 2.99948 1
75.507 2.47313 2
81.1614 2.68657 3
90.1973 2.65437 4
98.7441 3.34771 5
105.837 3.68485 6
113.066 2.92511 7
119.552 3.70351 8
125.542 4.74812 9
132.775 5.57226 10
137.72 5.38329 11
144.879 4.67847 12
151.399 4.48896 13
160.126 4.29244 14
168.17 4.05051 15
174.899 4.23027 16
180.877 4.29815 17
185.641 4.67336 18
190.817 4.45946 19
194.007 4.92876 20
198.337 6.36695 21
203.7 7.8814 22
206.577 9.51996 23
209.823 10.0077 24
211.828 10.945 25
216.315 12.1935 26
217.754 14.1829 27
218.924 16.3881 28
219.854 16.7406 29
217.178 19.8226 30
213.389 21.22 31
208.26 21.6336 32
200.651 23.372 33
192.129 25.7481 34
185.594 27.9766 35
178.678 28.4892 36
175.392 28.7842 37
172.387 29.2759 38
172.848 29.7689 39
174.16 30.5678 40
0 41
76 4 0
79.2609 3.18699 1
83.4049 2.46612 2
89.0733 2.71072 3
98.0662 2.65521 4
106.614 3.34256 5
113.709 3.65927 6
120.858 2.91535 7
127.334 3.68468 8
133.292 4.69172 9
140.52 5.53765 10
145.466 5.36107 11
152.615 4.62132 12
159.146 4.44279 13
167.84 4.24988 14
175.883 4.01745 15
182.617 4.18834 16
188.549 4.25965 17
193.32 4.59852 18
198.501 4.37839 19
201.679 4.84492 20
206.01 6.28702 21
211.332 7.7785 22
214.217 9.38392 23
217.463 9.87346 24
219.472 10.8064 25
223.956 12.0539 26
225.389 14.006 27
226.562 16.2139 28
227.472 16.5799 29
224.798 19.6565 30
221.011 21.0579 31
215.898 21.4877 32
208.298 23.2259 33
199.779 25.6143 34
193.255 27.8372 35
186.374 28.4016 36
183.095 28.6879 37
180.118 29.1797 38
180.581 29.6768 39
181.867 30.4533 40
0 41
84 4 0
87.2747 2.86136 1
91.3552 2.01123 2
97.0188 2.28905 3
105.977 2.20694 4
114.521 2.8806 5
121.615 3.17547 6
128.695 2.39467 7
135.154 3.15091 8
141.094 4.15929 9
148.324 4.99517 10
153.26 4.82943 11
160.303 4.00994 12
166.845 3.83864 13
175.451 3.55644 14
183.514 3.33974 15
190.233 3.47593 16
196.135 3.52769 17
200.904 3.86584 18
206.084 3.60677 19
209.224 4.11221 20
213.561 5.55268 21
218.865 7.06303 22
221.746 8.66336 23
224.997 9.15474 24
227.016 10.0511 25
231.505 11.308 26
232.927 13.2465 27
234.101 15.4573 28
235.007 15.8285 29
232.338 18.8921 30
228.552 20.3142 31
223.456 20.7466 32
215.861 22.4954 33
207.348 24.8878 34
200.831 27.1073 35
193.955 27.6854 36
190.676 27.97 37
187.701 28.4582 38
188.168 28.966 39
189.448 29.7308 40
0 41
92 4 0
95.2358 2.74511 1
99.3194 1.88488 2
104.978 2.16053 3
113.921 2.06373 4
122.365 2.70403 5
129.452 2.99872 6
136.566 2.10375 7
142.973 2.86174 8
148.895 3.86942 9
156.117 4.70528 10
161.053 4.53615 11
168.103 3.80387 12
174.645 3.63339 13
183.22 3.35103 14
191.331 3.08674 15
198.023 3.22212 16
203.919 3.27099 17
208.681 3.59493 18
213.853 3.3265 19
216.992 3.83032 20
221.309 5.25616 21
226.603 6.78036 22
229.492 8.3954 23
232.738 8.86584 24
234.75 9.7569 25
239.247 11.018 26
240.659 12.9804 27
241.826 15.1837 28
242.728 15.5629 29
240.061 18.6246 30
236.274 20.0522 31
231.184 20.5084 32
223.635 22.3239 33
215.122 24.7234 34
208.609 26.9436 35
201.717 27.5191 36
198.453 27.8012 37
195.477 28.288 38
195.943 28.7988 39
197.226 29.5613 40
0 41
100 4 0
103.239 2.76022 1
107.334 1.8913 2
112.97 2.12816 3
121.893 2.01043 4
130.324 2.64339 5
137.394 2.94963 6
144.507 1.90563 7
150.901 2.66709 8
156.725 3.65248 9
163.96 4.47547 10
168.885 4.30497 11
176.053 3.71149 12
182.593 3.53631 13
191.13 3.27432 14
199.245 3.00482 15
205.937 3.1369 16
211.83 3.18659 17
216.572 3.48019 18
221.751 3.21295 19
224.89 3.70849 20
229.166 5.10844 21
234.473 6.62207 22
237.366 8.2475 23
240.586 8.6755 24
242.595 9.56558 25
247.095 10.827 26
248.506 12.8043 27
249.672 15.005 28
250.575 15.381 29
247.919 18.4782 30
244.131 19.9029 31
239.046 20.3615 32
231.501 22.1919 33
222.995 24.6053 34
216.505 26.8425 35
209.604 27.4058 36
206.377 27.6856 37
203.39 28.172 38
203.858 28.6995 39
205.143 29.4486 40
0 41
108 4 0
111.253 2.69556 1
115.34 1.78173 2
120.971 2.00803 3
129.807 1.86064 4
138.227 2.44197 5
145.295 2.73828 6
152.352 1.69354 7
158.736 2.43539 8
164.558 3.38859 9
171.778 4.18884 10
176.695 4.01988 11
183.761 3.3345 12
190.299 3.14914 13
198.835 2.97833 14
206.903 2.69525 15
213.627 2.81679 16
219.524 2.85923 17
224.259 3.12961 18
229.432 2.86493 19
232.544 3.32174 20
236.82 4.71228 21
242.141 6.20127 22
245.034 7.79362 23
248.247 8.21636 24
250.257 9.10038 25
254.752 10.3514 26
256.132 12.3721 27
257.301 14.5738 28
258.2 14.9444 29
255.558 18.0976 30
251.774 19.521 31
246.686 19.9844 32
239.152 21.8411 33
230.651 24.2911 34
224.186 26.5163 35
217.287 27.0822 36
214.068 27.3609 37
211.081 27.8619 38
211.559 28.3924 39
212.835 29.1352 40
0 41
132 4 0
135.18 2.70371 1
139.238 1.9242 2
144.822 2.08934 3
153.629 1.85631 4
161.96 2.39665 5
168.968 2.62484 6
175.98 1.77868 7
182.322 2.50636 8
188.187 3.44517 9
195.405 4.23532 10
200.297 4.06924 11
207.299 3.19395 12
213.716 2.91862 13
222.241 2.65592 14
230.162 2.34827 15
236.895 2.4635 16
242.77 2.45516 17
247.495 2.68562 18
252.669 2.4269 19
255.79 2.79512 20
260.077 4.19382 21
265.379 5.67501 22
268.278 7.19196 23
271.487 7.59671 24
273.501 8.49214 25
277.97 9.61602 26
279.326 11.6665 27
280.506 13.8384 28
281.407 14.2311 29
278.756 17.4435 30
274.991 18.8557 31
269.922 19.4369 32
262.412 21.315 33
253.935 23.8384 34
247.487 26.083 35
240.603 26.6813 36
237.394 26.9563 37
234.394 27.4354 38
234.87 27.9666 39
236.153 28.7146 40
0 41
140 4 0
143.16 2.68028 1
147.318 1.92621 2
152.912 2.12146 3
161.71 1.86846 4
169.988 2.36642 5
176.984 2.60319 6
184.052 1.72814 7
190.339 2.42206 8
196.26 3.4938 9
203.448 4.19264 10
208.314 4.01748 11
215.299 3.16231 12
