41
1496
0 7
308 4 0
311.147 2.4523 1
315.126 1.59538 2
320.577 1.55886 3
329.108 0.785909 4
337.236 0.833058 5
344.14 0.618542 6
0 9
564 4 0
567.501 2.63204 1
571.644 2.09312 2
577.357 1.96462 3
586.339 1.94544 4
594.826 1.54926 5
601.918 1.11247 6
609.405 0.617557 7
615.934 0.773447 8
0 9
564 12 0
567.381 10.2179 1
571.609 9.22249 2
577.287 8.87344 3
586.361 7.14213 4
594.864 6.56491 5
602.038 5.94996 6
609.5 4.42683 7
616.042 4.67442 8
0 10
572 12 0
575.388 10.2102 1
579.611 9.16306 2
585.293 8.81224 3
594.388 7.05892 4
602.874 6.47173 5
610.171 5.74653 6
617.621 4.23167 7
624.17 4.48905 8
630.327 5.048 9
0 6
596 12 0
599.401 10.1233 1
603.641 9.25611 2
609.409 8.87327 3
618.516 6.94782 4
626.904 6.30716 5
0 5
604 12 0
607.397 10.0917 1
611.677 9.302 2
617.448 8.90024 3
626.547 6.98793 4
0 6
532 20 0
535.268 18.2093 1
539.474 17.303 2
545.002 17.0473 3
553.865 15.4066 4
562.36 14.9382 5
0 6
540 20 0
543.248 18.2096 1
547.553 17.3239 2
553.072 17.0618 3
562.023 15.3973 4
570.521 14.9229 5
0 6
548 20 0
551.254 18.2064 1
555.552 17.3099 2
561.116 17.0237 3
570.18 15.263 4
578.682 14.7531 5
0 10
572 20 0
575.375 18.2021 1
579.602 17.1574 2
585.276 16.7967 3
594.376 15.0382 4
602.854 14.4104 5
610.159 13.6804 6
617.603 12.1558 7
624.155 12.4292 8
630.323 13.0288 9
0 9
580 20 0
583.39 18.1241 1
587.621 17.0745 2
593.33 16.7287 3
602.44 14.8943 4
610.917 14.2865 5
618.25 13.3786 6
625.666 11.9094 7
632.226 12.1769 8
0 7
588 20 0
591.393 18.1195 1
595.631 17.0771 2
601.383 16.7437 3
610.49 14.8005 4
618.965 14.2058 5
626.29 13.2873 6
0 6
596 20 0
599.396 18.1222 1
603.637 17.1665 2
609.397 16.8184 3
618.504 14.8756 4
626.954 14.2357 5
0 5
604 20 0
607.397 18.1124 1
611.676 17.313 2
617.457 16.9036 3
626.554 14.98 4
0 6
540 28 0
543.258 26.2022 1
547.504 25.2842 2
553.033 25.0166 3
562.132 23.2653 4
570.603 22.7504 5
0 6
548 28 0
551.284 26.1969 1
555.522 25.2489 2
561.107 24.9558 3
570.208 23.1929 4
578.681 22.659 5
0 10
572 28 0
575.357 26.1892 1
579.597 25.1635 2
585.267 24.8043 3
594.373 23.0262 4
602.852 22.4013 5
610.159 21.6277 6
617.589 20.1144 7
624.143 20.4017 8
630.313 21.0022 9
0 9
580 28 0
583.357 26.1861 1
587.599 25.1432 2
593.275 24.782 3
602.384 23.0037 4
610.861 22.3754 5
618.184 21.5449 6
625.591 20.059 7
632.149 20.3437 8
0 7
588 28 0
591.388 26.1209 1
595.633 25.0805 2
601.367 24.7284 3
610.48 22.9089 4
618.953 22.2938 5
626.276 21.3952 6
0 6
